question_id,category,question,reference_answer,gold_chunk_ids,source_doc_ids,scheme_names,bridge_entity,evidence_snippets,automatic_checks,status,reviewer,question_natural,category_correct,answer_supported,gold_chunks_correct,scheme_documents_correct,bridge_valid,two_chunk_necessity,lexical_leakage_acceptable,duplicate_intent,rationale
q_0041,paraphrase,What detail does the source provide about Pradhan Mantri Adi Adarsh Gram Yojana (PMAAGY)?,Answer: The village must have at least 50% Scheduled Tribe population.,"[""chunk_8b678016""]","[""doc_5e4f1b3106d8""]",[],,"[""₹20,38,000/- for development activities. Question: What is the minimum ST population required? Answer: The village must have at least 50% Scheduled Tribe population. Question: Is there a population criteria for villages? Answer: The village must have at least 500 population in plain areas and 250 in hilly areas. Question: What type of development is supported? Answer: The scheme supports infrastructure development and socio-economic improvements. Question: What is a Village Development Plan (VDP""]","{""gold_ids_resolve"": true, ""source_document_ids_resolve"": true, ""answer_exactly_supported"": true, ""two_chunks_for_cross_scheme"": true, ""question_intent_unique"": true}",pending,,,,,,,,,,,
q_0042,paraphrase,What detail does the source provide about Scheme for Prevention of Alcoholism and Substance Abuse?,METHOD OF DRUG TAKING (Please state the number of clients) Oral Sniffing Injecting (IDU) Any other CLIENT’S DETAILS (During the half-year under review) 10.,"[""chunk_0ad75f93""]","[""doc_79bfbcec159c""]",[],,"[""categories) Volatile Solvents (Inhalants) Others (Please specify) TOTAL 9. METHOD OF DRUG TAKING (Please state the number of clients) Oral Sniffing Injecting (IDU) Any other CLIENT’S DETAILS (During the half-year under review) 10. SOURCE OF REFERAL Please state number of clients referred to the Centre by : Self Friends Family Social Worker Private Doctor Hospital Govt. hospital Counselling & awareness center/De- addiction centers (NGOs) Ex-clients or their family members Law enforce- ment agenci""]","{""gold_ids_resolve"": true, ""source_document_ids_resolve"": true, ""answer_exactly_supported"": true, ""two_chunks_for_cross_scheme"": true, ""question_intent_unique"": true}",pending,,,,,,,,,,,
q_0043,paraphrase,What detail does the source provide about NPS Vatsalya Scheme?,"Answer: Yes, Non-Resident Indians (NRIs) and Overseas Citizens of India (OCIs) under 18 years of age can join the scheme.","[""chunk_0102efff""]","[""doc_d3421f9b8fee""]",[],,"[""stipulated details. Question: Can an NRI or OCI open a NPS Vatsalya account? Answer: Yes, Non-Resident Indians (NRIs) and Overseas Citizens of India (OCIs) under 18 years of age can join the scheme. Question: Is it required to furnish a nomination while joining the scheme? Answer: No, the guardian becomes the nominee under the scheme. Question: How many NPS Vatsalya accounts can I open? Answer: The guardian can only open one account for each minor/child. Question: Can a guardian who is a NPS sub""]","{""gold_ids_resolve"": true, ""source_document_ids_resolve"": true, ""answer_exactly_supported"": true, ""two_chunks_for_cross_scheme"": true, ""question_intent_unique"": true}",pending,,,,,,,,,,,
q_0044,paraphrase,What detail does the source provide about MANAGE Internship Programme?,mentioned that the selection is based on evaluation of the proposals received.,"[""chunk_76feb74d""]","[""doc_abe9f2145783""]",[],,"[""mentioned that the selection is based on evaluation of the proposals received. The evaluation process is likely to involve the assessment of the candidate's CV, motivation letter, and recommendation letter, along with their academic qualifications and suitability for the internship. Question: Are there any specific age restrictions for applicants? Answer: The guidelines do not mention any specific age restrictions for applicants. As long as the applicants meet the academic requirements and posse""]","{""gold_ids_resolve"": true, ""source_document_ids_resolve"": true, ""answer_exactly_supported"": true, ""two_chunks_for_cross_scheme"": true, ""question_intent_unique"": true}",pending,,,,,,,,,,,
q_0045,paraphrase,What detail does the source provide about AVYAY - National Action Plan for Senior Citizens: Health and Shelter for Senior Citizens?,Answer: The Voluntary Organization must have been registered for a minimum of two years and must demonstrate a track record of at least two years' experience operating in the social sector when submitting the application for the grant.,"[""chunk_de5a3d6b""]","[""doc_ca4b29fe5546""]",[],,"[""the Project. Copy of Permanent Account Number (PAN) Card of the Organization. Bond Execution, Rule 231(2) & 3 (Required for Implementing Agencies, Not Quasi-Government Institutions, Central Autonomous Organisations, Or Institutions With Government-Approved Budgets). Financial and Annual Reporting Documents Annual Report for the Year for Which Grant-In-Aid Is Sought. Annual Report for Last Two Years (If Non-Governmental Organization). Audited Statement of Accounts (Income-Expenditure Statement, R""]","{""gold_ids_resolve"": true, ""source_document_ids_resolve"": true, ""answer_exactly_supported"": true, ""two_chunks_for_cross_scheme"": true, ""question_intent_unique"": true}",pending,,,,,,,,,,,
q_0046,paraphrase,What detail does the source provide about Transgender Persons Welfare Framework?,"(4) Every rule made by the State Government under sub-section (1), shall be laid, as soon as may be after it is made, before each House of the State Legislature where it consists of two Houses, or where such legislature consists of one House, before that House.","[""chunk_68a60725""]","[""doc_a9682fa909ac""]",[],,"[""certificate of identity is issued under sub-section (1) of section 6; (c) the form and manner in which an application shall be made under sub-section (1) of section 7; (d) the form, period and manner for issuing revised certificate under sub-section (2) of section 7; (e) welfare measures to be provided under sub-section (2) of section 8; (f) facilities to be provided under section 10; (g) other functions of the National Council under clause (e) of section 17; and (h) any other matter which is re""]","{""gold_ids_resolve"": true, ""source_document_ids_resolve"": true, ""answer_exactly_supported"": true, ""two_chunks_for_cross_scheme"": true, ""question_intent_unique"": true}",pending,,,,,,,,,,,
q_0047,paraphrase,What detail does the source provide about Mission Shakti?,implementing organizations should engage a part time doctor for the Centre who should visit the Centre at least once in a week to ensure general health check-up of the residents and also to attend to any emergency situation.,"[""chunk_d955cb68""]","[""doc_cc6e316344d2""]",[],,"[""implementing organizations should engage a part time doctor for the Centre who should visit the Centre at least once in a week to ensure general health check-up of the residents and also to attend to any emergency situation. Expenditure towards purchase of medicines prescribed by the doctor will be met through management cost. iv. Counselling: The common pool of counsellors proposed under the umbrella scheme under overall charge of OSC will provide psycho-social counselling to the women. v. Educ""]","{""gold_ids_resolve"": true, ""source_document_ids_resolve"": true, ""answer_exactly_supported"": true, ""two_chunks_for_cross_scheme"": true, ""question_intent_unique"": true}",pending,,,,,,,,,,,
q_0048,paraphrase,What detail does the source provide about Welfare Measures for Transgender Persons?,Affidavit that such a person is a ‘third gender’ or ‘transgender’ (if seen as a separate gender category) given by trans community members/leaders who know the person as a transgender or third gender person.,"[""chunk_b1bcabc9""]","[""doc_88a32bf0acd5""]",[],,"[""our work as a department, we must openly and explicitly affirm our commitment to the human rights of all persons, including LGBT people.” Page | 107 Appendix-4 Options for recognition of gender identity of transgender people in India: Parameters/Criteria that can be considered Parameters/Criteria Option 1 –Recognition of gender identity of transgender people as women or men Option – Recognition of gender identity of transgender people as third gender Option – Recognition of gender identity of tr""]","{""gold_ids_resolve"": true, ""source_document_ids_resolve"": true, ""answer_exactly_supported"": true, ""two_chunks_for_cross_scheme"": true, ""question_intent_unique"": true}",pending,,,,,,,,,,,
q_0049,paraphrase,What detail does the source provide about Internship Scheme Of The Department Of Economic Affairs?,job for any other organisation during the internship period.,"[""chunk_d40410ee""]","[""doc_97bd30334fde""]",[],,"[""job for any other organisation during the internship period. The internship does not guarantee employment in the Department of Economic Affairs. Eligibility The applicant should be an outstanding candidate pursuing or having completed Post Graduation or Ph.D in Economics, Law, Finance, or Management. The applicant should belong to Universities/Institutions within the top 25 ranks as per the National Institutional Ranking Framework, Ministry of Human Resource Development, or International Institu""]","{""gold_ids_resolve"": true, ""source_document_ids_resolve"": true, ""answer_exactly_supported"": true, ""two_chunks_for_cross_scheme"": true, ""question_intent_unique"": true}",pending,,,,,,,,,,,
q_0050,paraphrase,What detail does the source provide about Universal Immunization Programme - Rotavirus Vaccine?,Bhopal 21.3 38.5 Total 36.8 * Data from two surveillance sites The data from the NRSN from September 2012 to June 2016 is summarized below in Table 10-13.,"[""chunk_099299e1""]","[""doc_36c9d2d4e022""]",[],,"[""Bhopal 21.3 38.5 Total 36.8 * Data from two surveillance sites The data from the NRSN from September 2012 to June 2016 is summarized below in Table 10-13. The Rotavirus positivity in cases of hospitalized acute gastroenteritis was 36.8% for the country. The positivity ranges from 34-40% in each of the North, South, East and West zones suggesting the Rotavirus prevalence may be similar throughout India. The Rotavirus positivity was highest in age groups of 0-11 months (< 1 year) and 12- 24 months""]","{""gold_ids_resolve"": true, ""source_document_ids_resolve"": true, ""answer_exactly_supported"": true, ""two_chunks_for_cross_scheme"": true, ""question_intent_unique"": true}",pending,,,,,,,,,,,
q_0061,entity_relation,How are AICTE – Saksham Scholarship Scheme For Specially-Abled Student (Degree) and AICTE – Saksham Scholarship Scheme For Specially-Abled Student (Diploma) related through direct benefit transfer?,"Answer: Scholarship will be disbursed only through Direct Benefit Transfer (DBT) in the bank account of the student by AICTE. Additionally, Answer: Scholarship will be disbursed only through Direct Benefit Transfer (DBT) in the bank account of the student by AICTE.","[""chunk_7afa6a42"", ""chunk_859a0a3b""]","[""doc_8bcbb9118dcb"", ""doc_c96df527e90a""]","[""AICTE – Saksham Scholarship Scheme For Specially-Abled Student (Degree)"", ""AICTE – Saksham Scholarship Scheme For Specially-Abled Student (Diploma)""]",direct benefit transfer,"[""by indicating their Aadhaar Number, Bank Account number or NSP Application ID. NOTE 1: The National Scholarships Portal will provide the timelines for opening & closing of the portal. NOTE 2: Online applications will be verified at two levels i.e. by the Institute, where the student is studying and thereafter by the concerned State Higher Education Department or any other Agency/ Official nominated by the State as State Nodal Agency (both for fresh and renewal applicants). NOTE 3: Students will "", ""in the Public Financial Management System (PFMS) Portal either by indicating their Aadhaar Number, Bank Account number or NSP Application ID. NOTE 1: The National Scholarships Portal will provide the timelines for opening & closing of the portal. NOTE 2: Online applications will be verified at two levels i.e. by the Institute, where the student is studying and thereafter by the concerned State Higher Education Department or any other Agency/ Official nominated by the State as State Nodal Agency ""]","{""gold_ids_resolve"": true, ""source_document_ids_resolve"": true, ""answer_exactly_supported"": true, ""two_chunks_for_cross_scheme"": true, ""question_intent_unique"": true}",pending,,,,,,,,,,,
q_0062,entity_relation,How are Janani Suraksha Yojana (JSY) and Pradhan Mantri Surakshit Matritva Abhiyan related through district hospitals?,"Application Status Tracking To ensure transparency and allow beneficiaries to track their status, a list of Janani Suraksha Yojana beneficiaries, detailing the date of cash disbursement, must be prominently displayed on notice boards at all Sub-centers, Primary Health Centres, Community Health Centres, and District Hospitals. Additionally, Answer: Services are provided at Primary Health Centres, Community Health Centres, District Hospitals, and urban health facilities in both urban and rural areas across the country.","[""chunk_25f4f1f8"", ""chunk_3372c49c""]","[""doc_b20e0ce2bc2b"", ""doc_1badc1f2eac9""]","[""Janani Suraksha Yojana (JSY)"", ""Pradhan Mantri Surakshit Matritva Abhiyan""]",district hospitals,"[""counter upon discharge. All payments before or after seven days of delivery are treated as illegitimate subject to audit objection. Postnatal Care and Immunization The Accredited Social Health Activist is mandated to conduct a postnatal visit within seven days following delivery to monitor the mother's health and to facilitate the newborn's immunization, specifically for Bacillus Calmette–Guérin (BCG). This postnatal visit and the child's immunization are prerequisites for the Accredited Social "", ""instructions and priority attention for continued care. Question: What is the minimum documentation required for me to register and receive antenatal care services at the designated health facility? Answer: You need Mother and Child Protection Card (if available), Aadhaar Card or any government issued identity proof, and previous medical records, with minimal documentation to ensure universal access. Question: When was this national maternal health program launched and which government ministry ""]","{""gold_ids_resolve"": true, ""source_document_ids_resolve"": true, ""answer_exactly_supported"": true, ""two_chunks_for_cross_scheme"": true, ""question_intent_unique"": true}",pending,,,,,,,,,,,
q_0063,entity_relation,How are Coconut Palm Insurance Scheme and Integrated Scheme on Agriculture Cooperation related through ministry of agriculture and farmers welfare?,"Detailed description The “Coconut Palm Insurance Scheme (CPIS)” is being implemented by the Coconut Development Board, Ministry of Agriculture and Farmers Welfare, Government of India, with the objective of insuring coconut palms against natural calamities, climatic risks, pests, diseases, and other perils. Additionally, Scheme: Integrated Scheme on Agriculture Cooperation Ministry: Ministry Of Agriculture and Farmers Welfare Department: Department of Agriculture and Cooperation Level: Central Scheme type: Central Sector Scheme Target beneficiaries: Individual Overview The Integrated Scheme on Agriculture Cooperation (ISAC) is a Central Sector Scheme of the Ministry of Agriculture and Farmers Welfare, Government of India.","[""chunk_1ec7678d"", ""chunk_d9da9692""]","[""doc_b04e3412e5e8"", ""doc_3c777e109b38""]","[""Coconut Palm Insurance Scheme"", ""Integrated Scheme on Agriculture Cooperation""]",ministry of agriculture and farmers welfare,"[""Scheme: Coconut Palm Insurance Scheme Ministry: Ministry Of Agriculture and Farmers Welfare Department: Department of Agriculture & Farmers Welfare Implementing agency: Coconut Development Board Level: Central Scheme type: Centrally Sponsored Scheme Target beneficiaries: Individual Overview The “Coconut Palm Insurance Scheme (CPIS)” is being implemented by the Coconut Development Board, Ministry of Agriculture and Farmers Welfare, Government of India with the objective of insuring coconut palms "", ""Scheme: Integrated Scheme on Agriculture Cooperation Ministry: Ministry Of Agriculture and Farmers Welfare Department: Department of Agriculture and Cooperation Level: Central Scheme type: Central Sector Scheme Target beneficiaries: Individual Overview The Integrated Scheme on Agriculture Cooperation (ISAC) is a Central Sector Scheme of the Ministry of Agriculture and Farmers Welfare, Government of India. It is being implemented through the National Cooperative Development Corporation (NCDC). De""]","{""gold_ids_resolve"": true, ""source_document_ids_resolve"": true, ""answer_exactly_supported"": true, ""two_chunks_for_cross_scheme"": true, ""question_intent_unique"": true}",pending,,,,,,,,,,,
q_0064,entity_relation,How are ICAR Senior Research Fellowship For Post-Graduate Studies In Agricultural Sciences and Indian Agricultural Research Institute - Scholarship related through department of agriculture research and education?,"Scheme: ICAR Senior Research Fellowship For Post-Graduate Studies In Agricultural Sciences Ministry: Ministry Of Agriculture and Farmers Welfare Department: Department of Agriculture Research and Education Implementing agency: Indian Council Of Agricultural Research Level: Central Scheme type: Central Sector Scheme Target beneficiaries: Individual Overview ICAR awards a certain number of Senior Research Fellowships for Ph.D. Additionally, Scheme: Indian Agricultural Research Institute - Scholarship Ministry: Ministry Of Agriculture and Farmers Welfare Department: Department of Agriculture Research and Education Level: Central Target beneficiaries: Individual Overview The Indian Agricultural Research Institute (IARI) Junior and Senior Scholarship shall be awarded to M.Sc.","[""chunk_bb712328"", ""chunk_8fdc1298""]","[""doc_97925511123b"", ""doc_7ec23920bdd9""]","[""ICAR Senior Research Fellowship For Post-Graduate Studies In Agricultural Sciences"", ""Indian Agricultural Research Institute - Scholarship""]",department of agriculture research and education,"[""Scheme: ICAR Senior Research Fellowship For Post-Graduate Studies In Agricultural Sciences Ministry: Ministry Of Agriculture and Farmers Welfare Department: Department of Agriculture Research and Education Implementing agency: Indian Council Of Agricultural Research Level: Central Scheme type: Central Sector Scheme Target beneficiaries: Individual Overview ICAR awards a certain number of Senior Research Fellowships for Ph.D. in an Agricultural University (AU), in different disciplines of agricul"", ""Scheme: Indian Agricultural Research Institute - Scholarship Ministry: Ministry Of Agriculture and Farmers Welfare Department: Department of Agriculture Research and Education Level: Central Target beneficiaries: Individual Overview The Indian Agricultural Research Institute (IARI) Junior and Senior Scholarship shall be awarded to M.Sc. and Ph.D. students admitted under General Open Competition Scheme. Detailed description The Awards shall be made by the Dean and Joint Director (Education) of th""]","{""gold_ids_resolve"": true, ""source_document_ids_resolve"": true, ""answer_exactly_supported"": true, ""two_chunks_for_cross_scheme"": true, ""question_intent_unique"": true}",pending,,,,,,,,,,,
q_0065,entity_relation,How are Atal Pension Yojana and Pradhan Mantri Jan Dhan Yojana related through ministry of finance?,"Scheme: Atal Pension Yojana Ministry: Ministry Of Finance Department: Department of Financial Service Implementing agency: Banks Level: Central Scheme type: Central Sector Scheme Target beneficiaries: Individual Overview Atal Pension Yojana (APY) is an old age income security scheme for a savings account holder in the age group of 18-40 years, who is not an income tax-payee. Additionally, Scheme: Pradhan Mantri Jan Dhan Yojana Ministry: Ministry Of Finance Department: Department of Financial Service Implementing agency: Banks Level: Central Scheme type: Central Sector Scheme Target beneficiaries: Individual Overview A National Mission for Financial Inclusion (NMFI), namely, Pradhan Mantri Jan Dhan Yojana (PMJDY) was launched by the Prime Minister across the country on 28th August, 2014.","[""chunk_b59233b2"", ""chunk_f65b5ba7""]","[""doc_05db0f32db65"", ""doc_3160f4e34490""]","[""Atal Pension Yojana"", ""Pradhan Mantri Jan Dhan Yojana""]",ministry of finance,"[""Scheme: Atal Pension Yojana Ministry: Ministry Of Finance Department: Department of Financial Service Implementing agency: Banks Level: Central Scheme type: Central Sector Scheme Target beneficiaries: Individual Overview Atal Pension Yojana (APY) is an old age income security scheme for a savings account holder in the age group of 18-40 years, who is not an income tax-payee. It helps to address longevity risks among workers in unorganized sector and encourages the workers to voluntarily save for"", ""Scheme: Pradhan Mantri Jan Dhan Yojana Ministry: Ministry Of Finance Department: Department of Financial Service Implementing agency: Banks Level: Central Scheme type: Central Sector Scheme Target beneficiaries: Individual Overview A National Mission for Financial Inclusion (NMFI), namely, Pradhan Mantri Jan Dhan Yojana (PMJDY) was launched by the Prime Minister across the country on 28th August, 2014. It envisages to provide universal banking services for every unbanked adult in the country. De""]","{""gold_ids_resolve"": true, ""source_document_ids_resolve"": true, ""answer_exactly_supported"": true, ""two_chunks_for_cross_scheme"": true, ""question_intent_unique"": true}",pending,,,,,,,,,,,
q_0066,entity_relation,How are Mission on Integrated Development of Horticulture- NHM and HMNEH and National Agriculture Insurance Scheme related through department of agriculture farmers welfare?,"Detailed description The Mission for Integrated Development of Horticulture (MIDH) is a Centrally Sponsored Scheme implemented by the Department of Agriculture & Farmers Welfare, Ministry of Agriculture & Farmers Welfare, Government of India for the holistic growth of the horticulture sector through support for production, productivity enhancement, quality planting material, post-harvest management, processing, marketing, skill development, and infrastructure creation. Additionally, Scheme: National Agriculture Insurance Scheme Ministry: Ministry Of Agriculture and Farmers Welfare Department: Department of Agriculture & Farmers Welfare Level: Central Scheme type: Central Sector Scheme Target beneficiaries: Family, Individual Overview The National Agriculture Insurance Scheme (NAIS) was introduced by the Government of India to provide comprehensive insurance coverage and financial support to farmers against crop losses due to natural calamities, pests, and diseases.","[""chunk_3a805dd7"", ""chunk_738d48a8""]","[""doc_f6381d86cd31"", ""doc_b50f142c4e89""]","[""Mission on Integrated Development of Horticulture- NHM and HMNEH"", ""National Agriculture Insurance Scheme""]",department of agriculture farmers welfare,"[""Scheme: Mission on Integrated Development of Horticulture- NHM and HMNEH Ministry: Ministry Of Agriculture and Farmers Welfare Department: Department of Agriculture & Farmers Welfare Implementing agency: State/UT Horticulture Department Level: Central Scheme type: Centrally Sponsored Scheme Target beneficiaries: Individual, Government Organisation, State Government, Registered Societies, Business Entity Overview The scheme aims to promote the holistic growth of the horticulture sector through pr"", ""Scheme: National Agriculture Insurance Scheme Ministry: Ministry Of Agriculture and Farmers Welfare Department: Department of Agriculture & Farmers Welfare Level: Central Scheme type: Central Sector Scheme Target beneficiaries: Family, Individual Overview The National Agriculture Insurance Scheme (NAIS) was introduced by the Government of India to provide comprehensive insurance coverage and financial support to farmers against crop losses due to natural calamities, pests, and diseases. Detailed""]","{""gold_ids_resolve"": true, ""source_document_ids_resolve"": true, ""answer_exactly_supported"": true, ""two_chunks_for_cross_scheme"": true, ""question_intent_unique"": true}",pending,,,,,,,,,,,
