query_id,category,question,chunk_id,systems,original_relevance,candidate_text,review_status,reviewer,relevance,rationale,second_reviewer_relevance
q_0002,exact_match,What is ICAR Senior Research Fellowship For Post-Graduate Studies In Agricultural Sciences?,chunk_0aa09b91,"{""entity_graph"": {""rank"": 3, ""score"": 0.5}}",,"Scheme: Ambedkar Social Innovation and Incubation Mission (ASIIM) Ministry: Ministry Of Social Justice and Empowerment Department: Department of Social Justice & Empowerment Level: Central Scheme type: Central Sector Scheme Overview The scheme aims to boost entrepreneurship and innovation among SC students and SC differently-abled youth by providing focused support to translate innovative, technology-oriented business ideas into successful commercial enterprises. It offers equity funding and hand-holding support. Detailed description The scheme ""Ambedkar Social Innovation and Incubation Mission"" was launched on 30th September 2020, by the Department of Social Justice and Empowerment, Ministr",pending,,,,
q_0002,exact_match,What is ICAR Senior Research Fellowship For Post-Graduate Studies In Agricultural Sciences?,chunk_136cd204,"{""bm25"": {""rank"": 3, ""score"": 35.16032186526125}, ""faiss"": {""rank"": 3, ""score"": 0.6620125276869157}}",,"Scheme: CIFE - Institutional Fellowship Ministry: Ministry Of Agriculture and Farmers Welfare Implementing agency: Indian Council Of Agricultural Research (ICAR) Level: Central Scheme type: Central Sector Scheme Target beneficiaries: Individual Overview From the year 2010 onwards, the division is offering Masters and PhD in two disciplines namely Fish Nutrition and Feed Technology and Fish physiology and Biochemistry with an objective of moulding professionals with fundamental and advanced knowledge and expertise. Detailed description ICAR-CIFE offers two years Masters (Masters in Fisheries Science) and three years Doctoral (Ph.D.) degrees in as many as eleven specialised disciplines of fish",pending,,,,
q_0002,exact_match,What is ICAR Senior Research Fellowship For Post-Graduate Studies In Agricultural Sciences?,chunk_4f60c46f,"{""bm25"": {""rank"": 2, ""score"": 42.847707946193154}, ""faiss"": {""rank"": 1, ""score"": 0.6887115707370275}}",,"Scheme: ICAR Junior Research Fellowship For Post-Graduate Studies In Agricultural Sciences Ministry: Ministry Of Agriculture and Farmers Welfare Department: Department of Agriculture Research and Education Implementing agency: Indian Council Of Agricultural Research Level: Central Scheme type: Central Sector Scheme Target beneficiaries: Individual Overview ICAR awards a certain number of Junior Research Fellowships for Postgraduate Studies (course and research work) leading to a Master’s degree, in different disciplines of agriculture and allied sciences. This is done to encourage talented students to undertake higher agricultural education. Detailed description ICAR awards a certain number ",pending,,,,
q_0002,exact_match,What is ICAR Senior Research Fellowship For Post-Graduate Studies In Agricultural Sciences?,chunk_6e1f8940,"{""faiss"": {""rank"": 2, ""score"": 0.673822526660971}}",,"Scheme: ICAR Emeritus Scientist Scheme Ministry: Ministry Of Agriculture and Farmers Welfare Department: Department of Agriculture Research and Education Implementing agency: Indian Council Of Agricultural Research Level: Central Scheme type: Centrally Sponsored Scheme Target beneficiaries: Individual Overview The scheme aims to utilize the expertise of outstanding superannuated scientists of the National Agricultural Research System by supporting nationally important research, teaching, human resource development, and extension activities through honorarium and research grants. Detailed description The ""ICAR Emeritus Scientist"" scheme is implemented by the Indian Council of Agricultural Res",pending,,,,
q_0002,exact_match,What is ICAR Senior Research Fellowship For Post-Graduate Studies In Agricultural Sciences?,chunk_bb712328,"{""bm25"": {""rank"": 1, ""score"": 45.381619419585675}}",1,"Scheme: ICAR Senior Research Fellowship For Post-Graduate Studies In Agricultural Sciences Ministry: Ministry Of Agriculture and Farmers Welfare Department: Department of Agriculture Research and Education Implementing agency: Indian Council Of Agricultural Research Level: Central Scheme type: Central Sector Scheme Target beneficiaries: Individual Overview ICAR awards a certain number of Senior Research Fellowships for Ph.D. in an Agricultural University (AU), in different disciplines of agriculture and allied sciences. This is done to encourage talented students to undertake higher agricultural education. Detailed description In order to address the emerging challenges of agricultural resea",pending,,,,
q_0003,exact_match,What is National Bamboo Mission?,chunk_0c737fd6,"{""entity_graph"": {""rank"": 1, ""score"": 0.5}}",,"for execution of the smooth and timely execution of the 'Adarsh Gram' component of the scheme as well as proper implementation of projects as approved as part of Perspective Plan' at District level under Grant in aid component. The PIUs would be manned by a mix of persons having adequate experience in need assessment, project design and management, data analysis and software development and management as well as some young professionals having high social consciousness and preferably belong to the Scheduled Castes (SCs) category. The size and composition of the PIU would depend on the available funds under the administrative head, number of villages covered under PMAGY and size and type of p",pending,,,,
q_0003,exact_match,What is National Bamboo Mission?,chunk_0f353907,"{""entity_graph"": {""rank"": 2, ""score"": 0.5}}",,scheme coordinator. Select the faculty ID from the Faculty ID list and click on the OK button. Fill in all the fields of the Details of the Coordinator section. Click on the selection menu icon( ) in the Co-coordinator Faculty ID field to add details of the scheme Co-coordinator. Select the faculty ID from the Faculty ID list and click on the OK button. Fill in all the fields of Details of the Co-coordinator section. Fill in all the fields of the “Details of the Club” section. Confirm the declaration Section B: Academic Credentials of Coordinator /PI/Applicant Click on the Academic Credentials of Coordinator/ PI/Applicant Click on the new record ( ) button to add the Record and select the pa,pending,,,,
q_0003,exact_match,What is National Bamboo Mission?,chunk_184db683,"{""entity_graph"": {""rank"": 3, ""score"": 0.5}}",,"higher education and professional education accessible by the community. Special coaching should be provided to the candidates for competitive examinations and National Eligibility Test (NET)14 examination. Establishment of anti-discrimination cell All the educational institutions/universities should establish an anti-discrimination cell to monitor any form of discrimination against the transgender community. On the line of strict anti-ragging cell, there should be zero tolerance towards any incidence of the discrimination or complain. Create an enabling environment It is increasingly recognized by experts and other key stakeholders that transgender need a facilitating environment to continu",pending,,,,
q_0003,exact_match,What is National Bamboo Mission?,chunk_4c8abbf6,"{""bm25"": {""rank"": 1, ""score"": 18.69307739688141}, ""faiss"": {""rank"": 1, ""score"": 0.5574873100747895}}",1,"Scheme: National Bamboo Mission Ministry: Ministry Of Agriculture and Farmers Welfare Department: Department of Agriculture & Farmers Welfare Implementing agency: State Bamboo Development Agency / State Bamboo Mission Level: Central Scheme type: Centrally Sponsored Scheme Target beneficiaries: Individual, Business Entity Overview Restructured National Bamboo Mission was launched during 2018-19 as a Centrally Sponsored Scheme (CSS) after the historical amendment of the Indian Forest Act during 2017 to exclude bamboo out from definition of tree. Detailed description Resultant to this historic amendment, bamboo grown in the non-forest area is out of the scope of regulations on the forest produc",pending,,,,
q_0003,exact_match,What is National Bamboo Mission?,chunk_9979a86b,"{""bm25"": {""rank"": 2, ""score"": 17.578631225310918}, ""faiss"": {""rank"": 2, ""score"": 0.5172502287315993}}",,"in bamboo industry 2) It will help in establishing bamboo nursery, bamboo cultivation, post-harvest processing, product manufacturing, capacity building, entrepreneurship, etc for the industry 3) It will help in creating self-dependency for fulfilling the demand of bamboo and bamboo products. Eligibility The scheme is applicable to all farmers in India Application process Online Refer to respective State's Bamboo Mission Portal for online link Step 01: Application to State Bamboo Mission through their respective portals/offline Step 02: Scrutiny and approval of the SBM Step 03: credit linked financing through scheduled/commercial banks Step 04: progress reporting/completion of projects Step ",pending,,,,
q_0003,exact_match,What is National Bamboo Mission?,chunk_b813bec0,"{""bm25"": {""rank"": 3, ""score"": 13.84045752911447}}",,"Development: Training for farmers, entrepreneurs, gardeners, supervisors, field workers, and officials. Residential training programmes and skill development initiatives. Pollination Support Through Bee-Keeping: Assistance for bee colonies, bee breeding, bee-keeping equipment, and nucleus stock development. Horticulture Mechanization: Assistance for procurement of power-operated machines and tools. Support for farmer groups, Self-Help Groups, and women farmer groups. Technology Demonstrations: Assistance up to 75% of the cost for farmer participatory demonstrations. Front Line Demonstrations in public institutions eligible for up to 100% assistance, subject to a maximum of ₹25,00,000/- per p",pending,,,,
q_0003,exact_match,What is National Bamboo Mission?,chunk_e51e38e3,"{""faiss"": {""rank"": 3, ""score"": 0.45558389804697497}}",,"details of grants received from the Central Government so far under this scheme and UC pending Copies of annual reports/Balance sheets for the last three years Any other document, as required Frequently asked questions Question: What is the objective of the scheme? Answer: The objective of the Scheme is to create institutions for the Scheduled Tribes to support marketing and development of activities they depend on for their livelihood. Question: When was this scheme launched? Answer: The scheme was launched in the year 2014-15. Question: Is it a Central Sector Scheme? Answer: Yes, this is a Central Sector Scheme and 100% Grant-in-aid will be provided by the Ministry of Tribal Affairs to Imp",pending,,,,
q_0004,exact_match,What is Internship Programme Of The Department Of Expenditure?,chunk_02155a58,"{""entity_graph"": {""rank"": 1, ""score"": 0.5}}",,"share to this Escrow account as per the cost sharing ratio between the Centre and State/UT. The fund available in the dedicated Escrow account are meant for transfer to the beneficiaries under the scheme. In no case, the funds from this account should be diverted for any other purpose. The funds from this account shall be transferred to the beneficiaries through PFMS in DBT mode. II. To meet the administrative and other expenditures the funds shall also be transferred by MWCD to the States/UTs as per schematic norms through PFMS in the State/ UT treasury. The State/UT after crediting their respective shares shall make it available to the Department for smooth implementation of the scheme. II",pending,,,,
q_0004,exact_match,What is Internship Programme Of The Department Of Expenditure?,chunk_02a282c8,"{""faiss"": {""rank"": 2, ""score"": 0.6007378198636163}}",,"Scheme: Internship Scheme Of The Department Of Economic Affairs Ministry: Ministry Of Finance Department: Department Of Economic Affairs Level: Central Scheme type: Central Sector Scheme Target beneficiaries: Individual Overview The Internship Scheme aims to familiarise students with macro-economic policy formulation and economic research. Through this scheme, internship opportunities with token remuneration are provided to eligible Post Graduate and PhD students. Detailed description The scheme ""Internship Scheme Of The Department Of Economic Affairs"" has been implemented by the Department of Economic Affairs, Ministry of Finance, Government of India, aiming to familiarize selected candidat",pending,,,,
q_0004,exact_match,What is Internship Programme Of The Department Of Expenditure?,chunk_0aa09b91,"{""entity_graph"": {""rank"": 2, ""score"": 0.5}}",,"Scheme: Ambedkar Social Innovation and Incubation Mission (ASIIM) Ministry: Ministry Of Social Justice and Empowerment Department: Department of Social Justice & Empowerment Level: Central Scheme type: Central Sector Scheme Overview The scheme aims to boost entrepreneurship and innovation among SC students and SC differently-abled youth by providing focused support to translate innovative, technology-oriented business ideas into successful commercial enterprises. It offers equity funding and hand-holding support. Detailed description The scheme ""Ambedkar Social Innovation and Incubation Mission"" was launched on 30th September 2020, by the Department of Social Justice and Empowerment, Ministr",pending,,,,
q_0004,exact_match,What is Internship Programme Of The Department Of Expenditure?,chunk_0c737fd6,"{""entity_graph"": {""rank"": 3, ""score"": 0.5}}",,"for execution of the smooth and timely execution of the 'Adarsh Gram' component of the scheme as well as proper implementation of projects as approved as part of Perspective Plan' at District level under Grant in aid component. The PIUs would be manned by a mix of persons having adequate experience in need assessment, project design and management, data analysis and software development and management as well as some young professionals having high social consciousness and preferably belong to the Scheduled Castes (SCs) category. The size and composition of the PIU would depend on the available funds under the administrative head, number of villages covered under PMAGY and size and type of p",pending,,,,
q_0004,exact_match,What is Internship Programme Of The Department Of Expenditure?,chunk_2bdf5ed0,"{""bm25"": {""rank"": 2, ""score"": 26.942157070948458}}",,"this programme useful and how it fits in with their career growth. At the end of the Internship The interns will be required to present to the Head of the Division a Report/Paper on the allotted subject at the end of the internship. Simultaneously, they will also be required to give to the concerned HOD their mandatory feedback on their experience of the Programme, monitoring and supervision by the Director/JS concerned. Frequently asked questions Question: How Are Interns Selected For The Program? Answer: The applications will be scrutinized by a Selection Committee, and offers will be sent to selected interns based on slot availability, consent of the concerned division, and approval of th",pending,,,,
q_0004,exact_match,What is Internship Programme Of The Department Of Expenditure?,chunk_98e3d70d,"{""faiss"": {""rank"": 3, ""score"": 0.5699019938805876}}",,"All The Universities In India Apply For This Internship? Answer: Only the students from the Universities/ Institutions which are within the top 25 ranks as per the National Institutional Ranking Framework, by the Ministry of Human Resource Development or QS-ranked International Institutes, can apply for this Internship. Question: Under What Circumstances, Can The Tenure Of An Internship Be Ended Prematurely? Answer: Interns, whose performance is unsatisfactory, may be relieved prematurely. Question: Can This Internship Be Regarded As A Job Assurance By The Department Of Economic Affairs? Answer: This internship is neither a job nor any such assurance thereof in the Department of Economic Aff",pending,,,,
q_0004,exact_match,What is Internship Programme Of The Department Of Expenditure?,chunk_9c3986cd,"{""bm25"": {""rank"": 3, ""score"": 24.82453766266932}}",,"MANAGE Internship Programme. While there are no specific sub-disciplines mentioned, applicants with research interests in rural studies are particularly encouraged to apply. Question: What are the academic requirements for the internship? Could you elaborate on the minimum criteria for completion or ongoing pursuit of Ph.D. or M.Sc. degrees in the mentioned disciplines? Is there a specific GPA or percentage requirement? Answer: For Ph.D. and M.Sc. degree holders, the minimum academic requirement is a cumulative OGPA (Overall Grade Point Average) of 8 out of 10 (minimum 80%) for completed degrees. It is important for ongoing degree students to have a similar level of academic achievement. Que",pending,,,,
q_0004,exact_match,What is Internship Programme Of The Department Of Expenditure?,chunk_d9b29e30,"{""bm25"": {""rank"": 1, ""score"": 27.834458298540074}, ""faiss"": {""rank"": 1, ""score"": 0.6995704329239452}}",1,Scheme: Internship Programme Of The Department Of Expenditure Ministry: Ministry Of Finance Department: Department of Expenditure Level: Central Scheme type: Central Sector Scheme Target beneficiaries: Individual Overview The Internship Programme of the Department of Expenditure aims to familiarize willing and eligible undergraduates pursuing five-year integrated courses and Graduates pursuing post-Graduation/ post-Graduates pursuing Research with the overall process of formulation of economic policies of the Govt. Detailed description The Internship Programme of the Department of Expenditure aims to familiarize willing and eligible undergraduates pursuing five-year integrated courses and Gr,pending,,,,
q_0005,exact_match,What is Construction of Hostels for OBC Boys and Girls?,chunk_01ca802c,"{""bm25"": {""rank"": 1, ""score"": 41.98511516450097}, ""entity_graph"": {""rank"": 1, ""score"": 0.5}}",,"the primary objective of the scheme? Answer: The scheme aims to provide hostel facilities to students belonging to socially and educationally backward classes, especially from rural areas, to enable them to pursue secondary and higher education. Question: Who are the implementing agencies eligible for assistance under this scheme? Answer: Eligible agencies include State Governments, Union Territory Administrations, and institutions or organizations set up by the Central Government as autonomous bodies under a statute (e.g., Central Universities, IITs, NITs).​ Question: What are the cost norms per hostel seat in different regions? Answer: The cost per hostel seat is as follows:​ 1. North East",pending,,,,
q_0005,exact_match,What is Construction of Hostels for OBC Boys and Girls?,chunk_054b5d2b,"{""bm25"": {""rank"": 2, ""score"": 41.798892017988656}, ""faiss"": {""rank"": 1, ""score"": 0.6139328429715987}, ""entity_graph"": {""rank"": 2, ""score"": 0.5}}",1,"Scheme: Construction of Hostels for OBC Boys and Girls Ministry: Ministry Of Social Justice and Empowerment Department: Department of Social Justice & Empowerment Level: Central Scheme type: Centrally Sponsored Scheme Target beneficiaries: State Government, University / Institution Overview The Scheme aims at providing hostel facilities to students belonging to socially and educationally backward classes, especially from rural areas, to enable them to pursue secondary and higher education. Detailed description The scheme “Construction of Hostels for OBC Boys and Girls” is a Centrally Sponsored Scheme launched by the Department of Social Justice & Empowerment, Ministry of Social Justice & Emp",pending,,,,
q_0005,exact_match,What is Construction of Hostels for OBC Boys and Girls?,chunk_0960663e,"{""entity_graph"": {""rank"": 3, ""score"": 0.5}}",,"Scheme: Coaching Schemes For Sc/st/obc (non-creamy Layer) & Minority Students For Universities Ministry: Ministry Of Minority Affairs Level: Central Target beneficiaries: Individual Overview Coaching schemes for students belonging to SC (Scheduled Caste), ST (Scheduled Tribe), OBC (Other Backward Classes) (non-creamy layer), and minority communities are implemented to provide them with equal opportunities and support in pursuing higher education. Detailed description Coaching schemes for students belonging to SC (Scheduled Caste), ST (Scheduled Tribe), OBC (Other Backward Classes) (non-creamy layer), and minority communities are implemented to provide them with equal opportunities and suppor",pending,,,,
q_0005,exact_match,What is Construction of Hostels for OBC Boys and Girls?,chunk_be8a6e0a,"{""bm25"": {""rank"": 3, ""score"": 37.948807082700796}}",,"expenses related to the implementation of the scheme. Question: Can hostels be constructed in villages selected under the ""Saansad Adarsh Gram Yojana (SAGY)""? Answer: Yes, construction of hostels for OBC boys and girls in an Adarsh Village selected under SAGY can be undertaken, provided land is available and the selected village is located in proximity to educational institutions. Question: Are there specific criteria for selecting students for hostel accommodation? Answer: Yes, major criteria include the merit of the applicant, permanent residency of the state, annual family income, and caste of the student.",pending,,,,
q_0005,exact_match,What is Construction of Hostels for OBC Boys and Girls?,chunk_c1c4cb19,"{""faiss"": {""rank"": 2, ""score"": 0.5773555446772011}}",,"year from the date of release of 1st installment after completing construction work up to roof level. Eligibility Agencies eligible for financial assistance under the Scheme will be as follows: State Governments and UT Administrations. Institutions or organizations set up by the Central Government as autonomous bodies under a statute (e.g. Central Universities, IIT, NIT, etc.). Location and Capacity of Hostels to be constructed under the Scheme: 1. While sanctioning hostels, priority will be given to: (i) Regions/districts not covered so far, and (ii) Districts/towns having a large number of educational institutions. 2. As far as possible, hostels will be constructed in close vicinity of edu",pending,,,,
q_0005,exact_match,What is Construction of Hostels for OBC Boys and Girls?,chunk_ce35df3e,"{""faiss"": {""rank"": 3, ""score"": 0.5654732168274196}}",,"attain quality education. Such hostels are immensely beneficial to the students hailing from rural and remote areas of the country. While the component of construction of hostels for SC girls is in operation from the Third Five Year Plan (1961-66), the same for boys was started with effect from the year 1989-90. 2. Objectives: The objective of this component is containment and reduction of dropout rate of Scheduled Castes Students, especially for SC girls. 3. Scope of Works: Under this component, construction of new Hostel Buildings (separately for Boys and Girls Hostels) as well as repair of existing Hostels constructed under this component {including hostels constructed under earlier Schem",pending,,,,
q_0021,terminology_heavy,What does VDP stand for?,chunk_28412496,"{""entity_graph"": {""rank"": 1, ""score"": 0.5}}",,"in turn after assessing the claims of the District authority would declare that village as ‘Adarsh Gram’. 3. Approach and Strategy: a. Integrated development of selected villages would be achieved primarily through implementation of the existing schemes of the Central as well as State/UT Governments in a convergent manner, thereby ensuring access to quality services as well as infrastructure development. The Gap-filling funding will be provided for carrying out infrastructure developmental requirements, which cannot be carried out through convergence. It is expected that in selected villages, convergence of at least three to four times of ‘Gap-filling’ funds from existing Central/State Schem",pending,,,,
q_0021,terminology_heavy,What does VDP stand for?,chunk_363915a8,"{""bm25"": {""rank"": 3, ""score"": 11.037856753735783}, ""faiss"": {""rank"": 1, ""score"": 0.4785832406910953}, ""entity_graph"": {""rank"": 2, ""score"": 0.5}}",,"Format-VI reflects the status of saturation of all the 50 Monitorable Indicators. On completion of the initial need assessment, the Format-VI will be a reflection of the baseline position of the Monitorable Indicators. As and when needs are addressed and reported, the socio-economic indicators will improve and hence Format-VI will be refreshed and will indicate the real-time score of the village. f. The whole exercise of the Need Assessment, data collection, gap analysis and preparation of VDP will be done by the Village Level Convergence Committee(VLCC) in online mode. The VDP duly approved by the Gram Sabha of the village will be submitted to the District Level Convergence Committee for fu",pending,,,,
q_0021,terminology_heavy,What does VDP stand for?,chunk_3aa881a8,"{""entity_graph"": {""rank"": 3, ""score"": 0.5}}",,"Plans. 7. Process of Appraisal and Approval of State Perspective Plans(PPs): The Perspective Plans, and any subsequent changes therein, shall be appraised and approved by a Project Appraisal cum Convergence Committee (PACC) constituted in the Ministry for this purpose. 8. Release of Funds to the States: Release of the funds under the Scheme would be governed as per the following criteria: a. Under the ‘Adarsh Gram’ component, the quantum of funds to be released during the financial year would be assessed on the applicable administrative expenses for the new villages as well as no. of Village Development Plans(VDPs) generated and such funds would be released to the State/UT Governments as the",pending,,,,
q_0021,terminology_heavy,What does VDP stand for?,chunk_46720381,"{""bm25"": {""rank"": 2, ""score"": 11.12865409413375}, ""faiss"": {""rank"": 2, ""score"": 0.46230686529945153}}",,"portal and for use of community purpose, would be funded through the ‘Gap-filling ’component. 5. Selection of Villages: a. Villages having >40% SC population and a total population ≥ 500, as per the latest available Census data will be eligible for selection in descending order of their SC population.. b. Once these villages are covered, such villages having less than or equal to 40% SC population, but overall a high number of persons belonging to SCs, shall also be taken up. The Ministry shall fix the selection criteria for such villages at the appropriate time. 6. Preparation of Village Development Plan(VDP): a. The purpose of the VDP is to prepare a comprehensive, realistic and practical ",pending,,,,
q_0021,terminology_heavy,What does VDP stand for?,chunk_4acd3c70,"{""faiss"": {""rank"": 3, ""score"": 0.4225799943428357}}",,"the details of unspent balance available, fund required during the financial year for taking up the approved projects. c. Under the Adarsh Gram component, the State will release the 1st installment – i.e. Admistrative Expenses- to the districts at the beginning of the financial year so that the need assessment and VDP preparation activities can be initiated by the districts/villages. On approval of the VDPs by the DL-PACC, the entire gap-filling funds may be released to the implementing agencies, preferably in one go, so as to avoid delays in execution of works and better utilization of available resources. 10. Process for Approval and release of funds for Hostels in Central Universities or ",pending,,,,
q_0021,terminology_heavy,What does VDP stand for?,chunk_8b678016,"{""bm25"": {""rank"": 1, ""score"": 11.144352836069052}}",1,"₹20,38,000/- for development activities. Question: What is the minimum ST population required? Answer: The village must have at least 50% Scheduled Tribe population. Question: Is there a population criteria for villages? Answer: The village must have at least 500 population in plain areas and 250 in hilly areas. Question: What type of development is supported? Answer: The scheme supports infrastructure development and socio-economic improvements. Question: What is a Village Development Plan (VDP)? Answer: It is a comprehensive plan outlining development needs and activities for the village. Question: Are funds given directly to individuals? Answer: No, funds are provided for community infras",pending,,,,
