query_id	chunk_id	grade
q_0057	r4chunk_cec2c4a6c6ae	2
q_0058	r4chunk_eb3a64fd4eda	2
q_0059	r4chunk_120e155bb8bf	2
q_0060	r4chunk_3b9fa691d759	2
q_0061	r4chunk_656f7eb646cc	2
q_0061	r4chunk_1de0f655566d	2
q_0062	r4chunk_3e67e99a8124	2
q_0062	r4chunk_a84433068516	2
q_0063	r4chunk_cf77d62b4277	2
q_0063	r4chunk_6f24fa2c6f8f	2
q_0064	r4chunk_3ec3f4741b31	2
q_0064	r4chunk_1c4ffaeaf99d	2
q_0065	r4chunk_1ffab1ca0397	2
q_0065	r4chunk_0b18b4e33f23	2
q_0066	r4chunk_6a4035d6232e	2
q_0066	r4chunk_fc1059563c4e	2
q_0067	r4chunk_b14224acd68b	2
q_0067	r4chunk_028379ec7dea	2
q_0068	r4chunk_8a6a990420c0	2
q_0068	r4chunk_99051bd7b738	2
q_0069	r4chunk_27ed8b8ff490	2
q_0069	r4chunk_e020a4b44afa	2
q_0070	r4chunk_3154f6e2acbd	2
q_0070	r4chunk_a84433068516	2
q_0071	r4chunk_d64ea96ae778	0
q_0071	r4chunk_88c55b633482	2
q_0072	r4chunk_8c247680cfe0	2
q_0072	r4chunk_81abc860144b	2
q_0073	r4chunk_27ed8b8ff490	2
q_0073	r4chunk_4c9fc4619c32	2
q_0074	r4chunk_ff8dee613bc9	2
q_0074	r4chunk_3887442f7d54	2
q_0075	r4chunk_d35d5c963468	2
q_0075	r4chunk_b3fb42b120bd	2
q_0076	r4chunk_2923d9ff7fdc	2
q_0076	r4chunk_0b18b4e33f23	2
q_0077	r4chunk_028379ec7dea	2
q_0077	r4chunk_ad7a821e1c4c	2
q_0078	r4chunk_cd76576cb235	2
q_0078	r4chunk_92d2f698c5b4	2
q_0079	r4chunk_8a6a990420c0	2
q_0079	r4chunk_ad7a821e1c4c	2
q_0080	r4chunk_f432419ae817	2
q_0080	r4chunk_df233ea4b95a	2
q_0081	r4chunk_2923d9ff7fdc	2
q_0081	r4chunk_57a856141d3d	2
q_0082	r4chunk_af71b020fb68	2
q_0082	r4chunk_8e1800034b6a	2
q_0083	r4chunk_fe26e814acec	2
q_0083	r4chunk_cad5a58481a9	2
q_0084	r4chunk_de2d7ad62023	2
q_0084	r4chunk_57a856141d3d	2
q_0085	r4chunk_eaf049682fbc	2
q_0085	r4chunk_ee1aef3a3af0	2
q_0086	r4chunk_88c55b633482	2
q_0086	r4chunk_36d562c0b61a	2
q_0087	r4chunk_498c5e2e5246	2
q_0087	r4chunk_70ccf247afb1	2
q_0088	r4chunk_37f1e0901e73	2
q_0088	r4chunk_7258805bfb5f	2
q_0089	r4chunk_afbda7686f3e	2
q_0089	r4chunk_25e173e6d075	2
q_0090	r4chunk_6d3bdaf5653e	2
q_0090	r4chunk_1c4ffaeaf99d	2
q_0091	r4chunk_8c516c5a73ba	2
q_0091	r4chunk_ad7a821e1c4c	2
q_0092	r4chunk_31e42893db89	2
q_0092	r4chunk_498c5e2e5246	2
q_0093	r4chunk_ecee49976864	2
q_0093	r4chunk_38bbe4ef430c	2
q_0094	r4chunk_4be3e548537b	2
q_0094	r4chunk_1c4ffaeaf99d	2
q_0095	r4chunk_311528aa8e08	2
q_0095	r4chunk_d10af48e0c75	2
q_0096	r4chunk_81abc860144b	2
q_0096	r4chunk_d10af48e0c75	2
q_0097	r4chunk_8c516c5a73ba	2
q_0097	r4chunk_6a4035d6232e	2
q_0098	r4chunk_20c17890d57f	2
q_0098	r4chunk_bbc8608bee06	2
q_0099	r4chunk_4f9b6e411bf5	2
q_0099	r4chunk_33e6238e9f60	2
q_0100	r4chunk_f15d9dfdaa4d	2
q_0100	r4chunk_7cb9b2c80bf6	2
