display_id,query_id,owner_grade,audit_grade,agreement,confidence,evidence_fragment,adjudication_required
v2q-018-candidate-06,v2q-018,0,0,yes,high,,no
v2q-026-candidate-19,v2q-026,0,0,yes,high,,no
v2q-034-candidate-02,v2q-034,1,1,yes,medium,Household-scheme doc; key claim absent,no
v2q-013-candidate-10,v2q-013,2,2,yes,high,LPG + traditional-fuel replacement confirmed,no
v2q-021-candidate-07,v2q-021,1,1,yes,medium,PMFBY doc; insurance-company/bank pair absent,no
v2q-031-candidate-09,v2q-031,0,0,yes,high,,no
v2q-022-candidate-09,v2q-022,0,0,yes,high,,no
v2q-019-candidate-05,v2q-019,0,0,yes,high,,no
v2q-012-candidate-26,v2q-012,0,0,yes,high,,no
v2q-014-candidate-18,v2q-014,0,0,yes,high,,no
v2q-006-candidate-27,v2q-006,0,0,yes,high,,no
v2q-008-candidate-01,v2q-008,0,0,yes,high,,no
v2q-008-candidate-04,v2q-008,2,2,yes,high,full name + accidental death/disability confirmed,no
v2q-030-candidate-03,v2q-030,0,0,yes,high,,no
v2q-027-candidate-04,v2q-027,2,2,yes,high,SVANidhi working-capital/interest subsidy confirmed,no
v2q-003-candidate-01,v2q-003,2,2,yes,high,"₹10,000 OD",no
v2q-008-candidate-05,v2q-008,1,1,yes,medium,PMSBY doc; full name or cover type absent,no
v2q-011-candidate-03,v2q-011,0,0,yes,high,,no
v2q-026-candidate-09,v2q-026,2,2,yes,high,PMAY-G pucca/permanent rural housing confirmed,no
v2q-023-candidate-21,v2q-023,0,0,yes,high,,no
v2q-011-candidate-06,v2q-011,2,2,yes,high,full name or PVTG target confirmed,no
v2q-010-candidate-09,v2q-010,0,0,yes,high,,no
v2q-015-candidate-16,v2q-015,0,0,yes,high,,no
v2q-023-candidate-02,v2q-023,0,0,yes,high,,no
v2q-008-candidate-10,v2q-008,0,0,yes,high,,no
v2q-026-candidate-01,v2q-026,0,0,yes,high,,no
v2q-013-candidate-08,v2q-013,2,2,yes,high,LPG + traditional-fuel replacement confirmed,no
v2q-010-candidate-08,v2q-010,0,0,yes,high,,no
v2q-001-candidate-18,v2q-001,0,0,yes,high,,no
v2q-031-candidate-19,v2q-031,0,0,yes,high,,no
v2q-003-candidate-11,v2q-003,0,0,yes,high,,no
v2q-027-candidate-19,v2q-027,0,0,yes,high,,no
v2q-013-candidate-14,v2q-013,1,1,yes,medium,PMAY-G convergence mentions Ujjwala/cooking fuel — peripheral context,no
v2q-009-candidate-14,v2q-009,0,0,yes,high,,no
v2q-025-candidate-05,v2q-025,2,2,yes,high,PMJDY universal banking confirmed,no
v2q-014-candidate-12,v2q-014,1,1,yes,medium,PMGKAY doc; specific allocations absent,no
v2q-006-candidate-15,v2q-006,1,1,yes,medium,AB-PMJAY doc; ₹5 lakh absent,no
v2q-031-candidate-17,v2q-031,0,0,yes,high,,no
v2q-008-candidate-26,v2q-008,0,0,yes,high,,no
v2q-008-candidate-16,v2q-008,0,0,yes,high,,no
v2q-032-candidate-14,v2q-032,0,0,yes,high,,no
v2q-019-candidate-03,v2q-019,0,0,yes,high,,no
v2q-017-candidate-09,v2q-017,0,0,yes,high,,no
v2q-009-candidate-17,v2q-009,0,0,yes,high,,no
v2q-009-candidate-07,v2q-009,0,0,yes,high,,no
v2q-014-candidate-21,v2q-014,0,0,yes,high,,no
v2q-025-candidate-14,v2q-025,0,0,yes,high,,no
v2q-031-candidate-20,v2q-031,1,1,yes,medium,Finance insurance scheme; key claim absent,no
v2q-018-candidate-10,v2q-018,2,2,yes,high,PMAY-U + EWS/LIG/MIG categories confirmed,no
v2q-007-candidate-19,v2q-007,0,0,yes,high,,no
v2q-014-candidate-15,v2q-014,0,0,yes,high,,no
v2q-015-candidate-12,v2q-015,0,0,yes,high,,no
v2q-004-candidate-16,v2q-004,0,0,yes,high,,no
v2q-013-candidate-15,v2q-013,0,0,yes,high,,no
v2q-002-candidate-23,v2q-002,0,0,yes,high,,no
v2q-007-candidate-09,v2q-007,0,0,yes,high,,no
v2q-023-candidate-07,v2q-023,0,0,yes,high,,no
v2q-016-candidate-03,v2q-016,0,0,yes,high,,no
v2q-023-candidate-19,v2q-023,0,0,yes,high,,no
v2q-022-candidate-18,v2q-022,0,0,yes,high,,no
v2q-003-candidate-24,v2q-003,0,0,yes,high,,no
v2q-003-candidate-03,v2q-003,0,0,yes,high,,no
v2q-021-candidate-02,v2q-021,0,0,yes,high,,no
v2q-020-candidate-18,v2q-020,0,0,yes,high,,no
v2q-027-candidate-07,v2q-027,0,0,yes,high,,no
v2q-021-candidate-09,v2q-021,0,0,yes,high,,no
v2q-003-candidate-15,v2q-003,0,0,yes,high,,no
v2q-031-candidate-08,v2q-031,0,0,yes,high,,no
v2q-026-candidate-12,v2q-026,0,0,yes,high,,no
v2q-005-candidate-04,v2q-005,2,2,yes,high,'100 days' stated,no
v2q-030-candidate-23,v2q-030,0,0,yes,high,,no
v2q-002-candidate-18,v2q-002,0,0,yes,high,,no
v2q-004-candidate-22,v2q-004,0,0,yes,high,,no
v2q-005-candidate-19,v2q-005,0,0,yes,high,,no
v2q-034-candidate-05,v2q-034,0,0,yes,high,,no
v2q-009-candidate-04,v2q-009,2,2,yes,high,pension range + age 60 stated,no
v2q-008-candidate-13,v2q-008,0,0,yes,high,,no
v2q-034-candidate-12,v2q-034,2,2,yes,high,PMUY LPG for deprived/rural replacing traditional fuels confirmed,no
v2q-017-candidate-06,v2q-017,2,2,yes,high,STT + dropout/unemployed + fresh-skilling confirmed,no
v2q-024-candidate-16,v2q-024,0,0,yes,high,,no
v2q-005-candidate-21,v2q-005,0,0,yes,high,,no
v2q-019-candidate-17,v2q-019,0,0,yes,high,,no
v2q-007-candidate-26,v2q-007,0,0,yes,high,,no
v2q-032-candidate-09,v2q-032,2,2,yes,high,PMFBY crop-loss insurance confirmed,no
v2q-005-candidate-15,v2q-005,0,0,yes,high,,no
v2q-014-candidate-08,v2q-014,0,0,yes,high,,no
v2q-030-candidate-09,v2q-030,0,0,yes,high,,no
v2q-006-candidate-17,v2q-006,0,0,yes,high,,no
v2q-028-candidate-06,v2q-028,1,2,no,high,RPL + certify existing skills confirmed,yes
v2q-030-candidate-20,v2q-030,0,0,yes,high,,no
v2q-006-candidate-24,v2q-006,0,0,yes,high,,no
v2q-007-candidate-03,v2q-007,1,1,yes,medium,related insurance doc; full PMJJBY name/death absent,no
v2q-014-candidate-16,v2q-014,0,0,yes,high,,no
v2q-001-candidate-09,v2q-001,1,1,yes,medium,PMAY-G doc; size not stated,no
v2q-004-candidate-06,v2q-004,0,0,yes,high,,no
v2q-019-candidate-12,v2q-019,0,0,yes,high,,no
v2q-009-candidate-15,v2q-009,0,0,yes,high,,no
v2q-022-candidate-10,v2q-022,0,0,yes,high,,no
v2q-018-candidate-16,v2q-018,0,0,yes,high,,no
v2q-034-candidate-17,v2q-034,2,2,yes,high,PMAY-G pucca/permanent rural housing confirmed,no
v2q-007-candidate-23,v2q-007,0,0,yes,high,,no
v2q-019-candidate-07,v2q-019,1,1,yes,medium,Ujjwala doc; ministry name absent,no
v2q-001-candidate-02,v2q-001,0,0,yes,high,,no
v2q-021-candidate-19,v2q-021,0,0,yes,high,,no
v2q-027-candidate-18,v2q-027,2,2,yes,high,PMAY-U urban housing/income categories confirmed,no
v2q-030-candidate-02,v2q-030,0,0,yes,high,,no
v2q-010-candidate-13,v2q-010,0,0,yes,high,,no
v2q-013-candidate-18,v2q-013,0,0,yes,high,,no
v2q-010-candidate-14,v2q-010,0,0,yes,high,,no
v2q-002-candidate-04,v2q-002,0,0,yes,high,,no
v2q-003-candidate-17,v2q-003,0,0,yes,high,,no
v2q-010-candidate-21,v2q-010,0,0,yes,high,,no
v2q-009-candidate-20,v2q-009,0,0,yes,high,,no
v2q-014-candidate-09,v2q-014,0,0,yes,high,,no
v2q-029-candidate-08,v2q-029,0,0,yes,high,,no
v2q-020-candidate-02,v2q-020,0,0,yes,high,,no
v2q-033-candidate-07,v2q-033,1,2,no,high,PMEGP credit-linked subsidy confirmed,yes
v2q-001-candidate-12,v2q-001,0,0,yes,high,,no
v2q-004-candidate-21,v2q-004,1,1,yes,medium,PMMY doc; ₹20 lakh absent,no
v2q-029-candidate-07,v2q-029,1,2,no,high,Ujjwala 2.0 + migrant facility confirmed,yes
v2q-015-candidate-15,v2q-015,0,0,yes,high,,no
v2q-006-candidate-07,v2q-006,0,0,yes,high,,no
v2q-006-candidate-21,v2q-006,0,0,yes,high,,no
v2q-029-candidate-01,v2q-029,2,2,yes,high,Ujjwala 2.0 + migrant facility confirmed,no
v2q-024-candidate-09,v2q-024,0,0,yes,high,,no
v2q-029-candidate-05,v2q-029,0,0,yes,high,,no
v2q-018-candidate-05,v2q-018,0,0,yes,high,,no
v2q-011-candidate-13,v2q-011,0,0,yes,high,,no
v2q-010-candidate-16,v2q-010,0,0,yes,high,,no
v2q-016-candidate-15,v2q-016,0,0,yes,high,,no
v2q-017-candidate-10,v2q-017,0,0,yes,high,,no
v2q-008-candidate-02,v2q-008,0,0,yes,high,,no
v2q-027-candidate-06,v2q-027,2,2,yes,high,SVANidhi working-capital/interest subsidy confirmed,no
v2q-015-candidate-07,v2q-015,0,0,yes,high,,no
v2q-006-candidate-06,v2q-006,0,0,yes,high,,no
v2q-031-candidate-15,v2q-031,2,2,yes,high,PMJDY banking function confirmed,no
v2q-014-candidate-20,v2q-014,0,0,yes,high,,no
v2q-009-candidate-16,v2q-009,0,0,yes,high,,no
v2q-001-candidate-10,v2q-001,0,0,yes,high,,no
v2q-020-candidate-10,v2q-020,0,0,yes,high,,no
v2q-025-candidate-09,v2q-025,1,1,yes,medium,Finance Ministry scheme doc; specific claim absent,no
v2q-026-candidate-20,v2q-026,0,0,yes,high,,no
v2q-005-candidate-13,v2q-005,0,0,yes,high,,no
v2q-016-candidate-04,v2q-016,1,0,no,high,,yes
v2q-034-candidate-01,v2q-034,0,0,yes,high,,no
v2q-030-candidate-21,v2q-030,0,0,yes,high,,no
v2q-009-candidate-11,v2q-009,0,0,yes,high,,no
v2q-002-candidate-10,v2q-002,1,1,yes,medium,PMFBY doc; premium rates absent,no
v2q-031-candidate-06,v2q-031,0,0,yes,high,,no
v2q-017-candidate-03,v2q-017,0,0,yes,high,,no
v2q-009-candidate-23,v2q-009,0,0,yes,high,,no
v2q-007-candidate-01,v2q-007,0,0,yes,high,,no
v2q-027-candidate-16,v2q-027,0,0,yes,high,,no
v2q-012-candidate-04,v2q-012,0,0,yes,high,,no
v2q-020-candidate-16,v2q-020,0,0,yes,high,,no
v2q-003-candidate-16,v2q-003,0,0,yes,high,,no
v2q-006-candidate-26,v2q-006,0,0,yes,high,,no
v2q-031-candidate-04,v2q-031,0,0,yes,high,,no
v2q-015-candidate-05,v2q-015,0,0,yes,high,,no
v2q-012-candidate-13,v2q-012,0,0,yes,high,,no
v2q-021-candidate-17,v2q-021,0,0,yes,high,,no
v2q-003-candidate-02,v2q-003,1,1,yes,medium,PMJDY doc; specific limits absent,no
v2q-020-candidate-24,v2q-020,0,0,yes,high,,no
v2q-006-candidate-02,v2q-006,2,2,yes,high,₹5 lakh hospitalisation stated,no
v2q-022-candidate-14,v2q-022,0,0,yes,high,,no
v2q-002-candidate-09,v2q-002,0,0,yes,high,,no
v2q-014-candidate-23,v2q-014,0,0,yes,high,,no
v2q-013-candidate-05,v2q-013,1,0,no,high,,yes
v2q-009-candidate-05,v2q-009,0,0,yes,high,,no
v2q-012-candidate-24,v2q-012,0,0,yes,high,,no
v2q-007-candidate-05,v2q-007,0,0,yes,high,,no
v2q-018-candidate-03,v2q-018,0,0,yes,high,,no
v2q-023-candidate-16,v2q-023,0,0,yes,high,,no
v2q-015-candidate-02,v2q-015,0,0,yes,high,,no
v2q-023-candidate-20,v2q-023,0,0,yes,high,,no
v2q-033-candidate-01,v2q-033,2,2,yes,high,PMEGP credit-linked subsidy confirmed,no
v2q-006-candidate-14,v2q-006,0,0,yes,high,,no
v2q-020-candidate-01,v2q-020,0,0,yes,high,,no
v2q-021-candidate-04,v2q-021,2,2,yes,high,PMFBY + insurance companies + banks confirmed,no
v2q-001-candidate-04,v2q-001,1,1,yes,medium,PMAY-G doc; size not stated,no
v2q-033-candidate-10,v2q-033,1,1,yes,medium,Enterprise scheme doc; mechanism not directly stated,no
v2q-029-candidate-17,v2q-029,0,0,yes,high,,no
v2q-009-candidate-02,v2q-009,0,0,yes,high,,no
v2q-011-candidate-16,v2q-011,0,0,yes,high,,no
v2q-017-candidate-07,v2q-017,0,0,yes,high,,no
v2q-032-candidate-04,v2q-032,1,1,yes,medium,Farmer scheme doc; specific claim absent,no
v2q-001-candidate-13,v2q-001,0,0,yes,high,,no
v2q-019-candidate-10,v2q-019,1,1,yes,medium,Ujjwala doc; ministry name absent,no
v2q-028-candidate-07,v2q-028,1,0,no,high,,yes
v2q-005-candidate-22,v2q-005,0,0,yes,high,,no
v2q-007-candidate-24,v2q-007,0,0,yes,high,,no
v2q-002-candidate-22,v2q-002,0,0,yes,high,,no
v2q-029-candidate-14,v2q-029,1,1,yes,medium,Ujjwala doc; migrant/traditional-fuel context absent,no
v2q-029-candidate-15,v2q-029,0,0,yes,high,,no
v2q-002-candidate-20,v2q-002,0,0,yes,high,,no
v2q-030-candidate-05,v2q-030,0,0,yes,high,,no
v2q-022-candidate-17,v2q-022,0,0,yes,high,,no
v2q-011-candidate-18,v2q-011,0,0,yes,high,,no
v2q-030-candidate-19,v2q-030,0,0,yes,high,,no
v2q-021-candidate-14,v2q-021,0,0,yes,high,,no
v2q-028-candidate-11,v2q-028,1,1,yes,medium,PMKVY-SP sibling sub-scheme; tangential,no
v2q-006-candidate-22,v2q-006,0,0,yes,high,,no
v2q-018-candidate-11,v2q-018,0,0,yes,high,,no
v2q-029-candidate-03,v2q-029,1,2,no,high,Ujjwala 2.0 + migrant facility confirmed,yes
v2q-013-candidate-07,v2q-013,0,0,yes,high,,no
v2q-021-candidate-10,v2q-021,0,0,yes,high,,no
v2q-001-candidate-07,v2q-001,2,2,yes,high,'25 sq m' stated,no
v2q-014-candidate-19,v2q-014,0,0,yes,high,,no
v2q-019-candidate-21,v2q-019,0,0,yes,high,,no
v2q-013-candidate-03,v2q-013,0,0,yes,high,,no
v2q-003-candidate-07,v2q-003,0,0,yes,high,,no
v2q-014-candidate-04,v2q-014,0,0,yes,high,,no
v2q-029-candidate-11,v2q-029,0,0,yes,high,,no
v2q-018-candidate-14,v2q-018,0,0,yes,high,,no
v2q-025-candidate-03,v2q-025,0,0,yes,high,,no
v2q-018-candidate-04,v2q-018,0,0,yes,high,,no
v2q-009-candidate-19,v2q-009,0,0,yes,high,,no
v2q-013-candidate-13,v2q-013,2,2,yes,high,LPG + traditional-fuel replacement confirmed,no
v2q-015-candidate-13,v2q-015,0,0,yes,high,,no
v2q-033-candidate-09,v2q-033,2,2,yes,high,PMMY micro-credit confirmed,no
v2q-023-candidate-12,v2q-023,2,2,yes,high,Gram Panchayat + registration/application role confirmed,no
v2q-024-candidate-22,v2q-024,0,0,yes,high,,no
v2q-006-candidate-11,v2q-006,0,0,yes,high,,no
v2q-017-candidate-12,v2q-017,0,0,yes,high,,no
v2q-012-candidate-25,v2q-012,0,0,yes,high,,no
v2q-034-candidate-13,v2q-034,0,0,yes,high,,no
v2q-007-candidate-15,v2q-007,0,0,yes,high,,no
v2q-001-candidate-16,v2q-001,0,0,yes,high,,no
v2q-021-candidate-03,v2q-021,0,0,yes,high,,no
v2q-005-candidate-08,v2q-005,2,2,yes,high,'100 days' stated,no
v2q-011-candidate-11,v2q-011,0,0,yes,high,,no
v2q-009-candidate-10,v2q-009,0,0,yes,high,,no
v2q-023-candidate-06,v2q-023,0,0,yes,high,,no
v2q-024-candidate-12,v2q-024,0,0,yes,high,,no
v2q-028-candidate-14,v2q-028,2,2,yes,high,RPL + certify existing skills confirmed,no
v2q-022-candidate-22,v2q-022,0,0,yes,high,,no
v2q-003-candidate-25,v2q-003,0,0,yes,high,,no
v2q-025-candidate-17,v2q-025,0,0,yes,high,,no
v2q-007-candidate-13,v2q-007,0,0,yes,high,,no
v2q-018-candidate-17,v2q-018,0,0,yes,high,,no
v2q-010-candidate-17,v2q-010,0,0,yes,high,,no
v2q-013-candidate-04,v2q-013,1,1,yes,medium,PMAY-G convergence mentions Ujjwala/cooking fuel — peripheral context,no
v2q-008-candidate-23,v2q-008,0,0,yes,high,,no
v2q-027-candidate-08,v2q-027,0,0,yes,high,,no
v2q-007-candidate-27,v2q-007,0,0,yes,high,,no
v2q-009-candidate-13,v2q-009,1,1,yes,medium,APY doc; pension range or age absent,no
v2q-026-candidate-15,v2q-026,1,1,yes,medium,Rural Development scheme doc; key claim absent,no
v2q-020-candidate-22,v2q-020,0,0,yes,high,,no
v2q-017-candidate-04,v2q-017,0,0,yes,high,,no
v2q-015-candidate-10,v2q-015,2,2,yes,high,PMEGP + artisan/self-employment beneficiary confirmed,no
v2q-006-candidate-01,v2q-006,0,0,yes,high,,no
v2q-011-candidate-01,v2q-011,0,0,yes,high,,no
v2q-004-candidate-09,v2q-004,2,2,yes,high,₹20 lakh stated,no
v2q-029-candidate-20,v2q-029,0,0,yes,high,,no
v2q-018-candidate-09,v2q-018,0,0,yes,high,,no
v2q-003-candidate-22,v2q-003,0,0,yes,high,,no
v2q-027-candidate-01,v2q-027,0,0,yes,high,,no
v2q-006-candidate-18,v2q-006,0,0,yes,high,,no
v2q-032-candidate-10,v2q-032,1,1,yes,medium,Farmer scheme doc; specific claim absent,no
v2q-011-candidate-04,v2q-011,0,0,yes,high,,no
v2q-022-candidate-24,v2q-022,0,0,yes,high,,no
v2q-006-candidate-23,v2q-006,0,0,yes,high,,no
v2q-030-candidate-01,v2q-030,0,0,yes,high,,no
v2q-010-candidate-12,v2q-010,0,0,yes,high,,no
v2q-008-candidate-19,v2q-008,0,0,yes,high,,no
v2q-033-candidate-04,v2q-033,0,0,yes,high,,no
v2q-024-candidate-06,v2q-024,0,0,yes,high,,no
v2q-031-candidate-10,v2q-031,0,0,yes,high,,no
v2q-012-candidate-17,v2q-012,2,2,yes,high,full name + street-vendor target confirmed,no
v2q-006-candidate-13,v2q-006,2,2,yes,high,₹5 lakh hospitalisation stated,no
v2q-017-candidate-01,v2q-017,0,0,yes,high,,no
v2q-012-candidate-09,v2q-012,2,2,yes,high,full name + street-vendor target confirmed,no
v2q-016-candidate-12,v2q-016,0,0,yes,high,,no
v2q-030-candidate-22,v2q-030,0,0,yes,high,,no
v2q-008-candidate-08,v2q-008,0,0,yes,high,,no
v2q-006-candidate-12,v2q-006,0,0,yes,high,,no
v2q-002-candidate-15,v2q-002,0,0,yes,high,,no
v2q-005-candidate-17,v2q-005,0,0,yes,high,,no
v2q-031-candidate-21,v2q-031,0,0,yes,high,,no
v2q-005-candidate-20,v2q-005,0,0,yes,high,,no
v2q-024-candidate-14,v2q-024,0,0,yes,high,,no
v2q-012-candidate-15,v2q-012,0,0,yes,high,,no
v2q-034-candidate-09,v2q-034,2,2,yes,high,PMUY LPG for deprived/rural replacing traditional fuels confirmed,no
v2q-009-candidate-25,v2q-009,0,0,yes,high,,no
v2q-010-candidate-11,v2q-010,2,2,yes,high,full form + hot cooked meal confirmed,no
v2q-004-candidate-24,v2q-004,0,0,yes,high,,no
v2q-033-candidate-06,v2q-033,1,2,no,high,PMEGP credit-linked subsidy confirmed,yes
v2q-030-candidate-15,v2q-030,0,0,yes,high,,no
v2q-019-candidate-09,v2q-019,0,0,yes,high,,no
v2q-007-candidate-12,v2q-007,0,0,yes,high,,no
v2q-001-candidate-08,v2q-001,0,0,yes,high,,no
v2q-007-candidate-25,v2q-007,0,0,yes,high,,no
v2q-034-candidate-18,v2q-034,0,0,yes,high,,no
v2q-002-candidate-02,v2q-002,1,1,yes,medium,PMFBY doc; premium rates absent,no
v2q-011-candidate-08,v2q-011,0,0,yes,high,,no
v2q-030-candidate-18,v2q-030,0,0,yes,high,,no
v2q-007-candidate-04,v2q-007,0,0,yes,high,,no
v2q-008-candidate-22,v2q-008,0,0,yes,high,,no
v2q-001-candidate-03,v2q-001,1,1,yes,medium,PMAY-G doc; size not stated,no
v2q-023-candidate-13,v2q-023,2,2,yes,high,Gram Panchayat + registration/application role confirmed,no
v2q-002-candidate-12,v2q-002,1,1,yes,medium,PMFBY doc; premium rates absent,no
v2q-013-candidate-01,v2q-013,1,0,no,high,,yes
v2q-024-candidate-07,v2q-024,1,1,yes,medium,AB-PMJAY doc; NHA absent,no
v2q-032-candidate-07,v2q-032,1,2,no,high,"PM-KISAN ₹6,000 transfer confirmed",yes
v2q-003-candidate-12,v2q-003,0,0,yes,high,,no
v2q-014-candidate-03,v2q-014,0,0,yes,high,,no
v2q-005-candidate-14,v2q-005,1,1,yes,medium,MGNREGA doc; 100-day guarantee absent,no
v2q-020-candidate-23,v2q-020,1,1,yes,medium,PMKVY doc; NSDC/SPIA division absent,no
v2q-026-candidate-11,v2q-026,0,0,yes,high,,no
v2q-034-candidate-14,v2q-034,2,2,yes,high,PMAY-G pucca/permanent rural housing confirmed,no
v2q-008-candidate-11,v2q-008,0,0,yes,high,,no
v2q-001-candidate-20,v2q-001,0,0,yes,high,,no
v2q-019-candidate-08,v2q-019,0,0,yes,high,,no
v2q-016-candidate-07,v2q-016,0,0,yes,high,,no
v2q-019-candidate-06,v2q-019,0,0,yes,high,,no
v2q-012-candidate-21,v2q-012,0,0,yes,high,,no
v2q-028-candidate-04,v2q-028,1,2,no,high,STT fresh-skilling/dropout role confirmed,yes
v2q-031-candidate-12,v2q-031,2,2,yes,high,PMJJBY life/death cover confirmed,no
v2q-011-candidate-15,v2q-011,0,0,yes,high,,no
v2q-034-candidate-20,v2q-034,1,2,no,high,PMGKAY free foodgrains for AAY/PHH confirmed,yes
v2q-009-candidate-01,v2q-009,0,0,yes,high,,no
v2q-023-candidate-22,v2q-023,0,0,yes,high,,no
v2q-004-candidate-13,v2q-004,0,0,yes,high,,no
v2q-022-candidate-12,v2q-022,0,0,yes,high,,no
v2q-021-candidate-11,v2q-021,0,0,yes,high,,no
v2q-018-candidate-12,v2q-018,0,0,yes,high,,no
v2q-032-candidate-12,v2q-032,0,0,yes,high,,no
v2q-022-candidate-06,v2q-022,0,0,yes,high,,no
v2q-009-candidate-22,v2q-009,0,0,yes,high,,no
v2q-006-candidate-05,v2q-006,0,0,yes,high,,no
v2q-024-candidate-02,v2q-024,0,0,yes,high,,no
v2q-027-candidate-12,v2q-027,0,0,yes,high,,no
v2q-017-candidate-16,v2q-017,0,0,yes,high,,no
v2q-033-candidate-16,v2q-033,2,2,yes,high,SVANidhi working-capital/interest-subsidy confirmed,no
v2q-008-candidate-07,v2q-008,0,0,yes,high,,no
v2q-022-candidate-01,v2q-022,0,0,yes,high,,no
v2q-032-candidate-01,v2q-032,2,2,yes,high,PMFBY crop-loss insurance confirmed,no
v2q-012-candidate-06,v2q-012,0,0,yes,high,,no
v2q-004-candidate-12,v2q-004,0,0,yes,high,,no
v2q-006-candidate-03,v2q-006,1,1,yes,medium,AB-PMJAY doc; ₹5 lakh absent,no
v2q-032-candidate-06,v2q-032,0,0,yes,high,,no
v2q-018-candidate-07,v2q-018,0,0,yes,high,,no
v2q-020-candidate-05,v2q-020,0,0,yes,high,,no
v2q-027-candidate-03,v2q-027,0,0,yes,high,,no
v2q-028-candidate-02,v2q-028,1,1,yes,medium,PMKVY-SP sibling sub-scheme; tangential,no
v2q-020-candidate-14,v2q-020,0,0,yes,high,,no
v2q-023-candidate-15,v2q-023,2,2,yes,high,Gram Panchayat + registration/application role confirmed,no
v2q-004-candidate-14,v2q-004,0,0,yes,high,,no
v2q-001-candidate-01,v2q-001,1,1,yes,medium,PMAY-G doc; size not stated,no
v2q-004-candidate-18,v2q-004,0,0,yes,high,,no
v2q-011-candidate-02,v2q-011,0,0,yes,high,,no
v2q-022-candidate-23,v2q-022,0,0,yes,high,,no
v2q-028-candidate-13,v2q-028,2,2,yes,high,STT fresh-skilling/dropout role confirmed,no
v2q-004-candidate-23,v2q-004,0,0,yes,high,,no
v2q-009-candidate-12,v2q-009,1,1,yes,medium,APY doc; pension range or age absent,no
v2q-029-candidate-06,v2q-029,2,2,yes,high,Ujjwala predecessor + traditional-fuel transition confirmed,no
v2q-024-candidate-01,v2q-024,2,2,yes,high,NHA + AB-PMJAY confirmed,no
v2q-002-candidate-05,v2q-002,0,0,yes,high,,no
v2q-013-candidate-12,v2q-013,1,0,no,high,,yes
v2q-023-candidate-23,v2q-023,0,0,yes,high,,no
v2q-019-candidate-04,v2q-019,0,0,yes,high,,no
v2q-012-candidate-22,v2q-012,0,0,yes,high,,no
v2q-028-candidate-15,v2q-028,2,2,yes,high,RPL + certify existing skills confirmed,no
v2q-016-candidate-14,v2q-016,2,2,yes,high,RPL + assess/certify function confirmed,no
v2q-012-candidate-03,v2q-012,0,0,yes,high,,no
v2q-012-candidate-16,v2q-012,2,2,yes,high,full name + street-vendor target confirmed,no
v2q-027-candidate-10,v2q-027,1,1,yes,medium,Housing/Urban Affairs scheme doc; key claim absent,no
v2q-003-candidate-21,v2q-003,0,0,yes,high,,no
v2q-027-candidate-17,v2q-027,0,0,yes,high,,no
